Symbol,Name
atvi,"Activision Blizzard, Inc. Common Stock"
adbe,Adobe Inc. Common Stock
amd,"Advanced Micro Devices, Inc. Common Stock"
alxn,"Alexion Pharmaceuticals, Inc. Common Stock"
algn,"Align Technology, Inc. Common Stock"
goog,Alphabet Inc. Class C Capital Stock
googl,Alphabet Inc. Class A Common Stock
amzn,"Amazon.com, Inc. Common Stock"
amgn,Amgen Inc. Common Stock
adi,"Analog Devices, Inc. Common Stock"
anss,"ANSYS, Inc. Common Stock"
aapl,Apple Inc. Common Stock
amat,"Applied Materials, Inc. Common Stock"
asml,ASML Holding N.V. New York Registry Shares
adsk,"Autodesk, Inc. Common Stock"
adp,"Automatic Data Processing, Inc. Common Stock"
bidu,"Baidu, Inc. ADS"
biib,Biogen Inc. Common Stock
bmrn,BioMarin Pharmaceutical Inc. Common Stock
bkng,Booking Holdings Inc. Common Stock
avgo,Broadcom Inc. Common Stock
cdns,"Cadence Design Systems, Inc. Common Stock"
cdw,CDW Corporation Common Stock
cern,Cerner Corporation Common Stock
chtr,"Charter Communications, Inc. Class A Common Stock New"
chkp,Check Point Software Technologies Ltd. Ordinary Shares
ctas,Cintas Corporation Common Stock
csco,"Cisco Systems, Inc. Common Stock"
ctxs,"Citrix Systems, Inc. Common Stock"
ctsh,Cognizant Technology Solutions Corporation Class A Common Stock
cmcsa,Comcast Corporation Class A Common Stock
cprt,"Copart, Inc. (DE) Common Stock"
cost,Costco Wholesale Corporation Common Stock
csx,CSX Corporation Common Stock
dxcm,"DexCom, Inc. Common Stock"
docu,"DocuSign, Inc. Common Stock"
dltr,Dollar Tree Inc. Common Stock
ebay,eBay Inc. Common Stock
ea,Electronic Arts Inc. Common Stock
exc,Exelon Corporation Common Stock
expe,"Expedia Group, Inc. Common Stock"
fb,"Facebook, Inc. Class A Common Stock"
fast,Fastenal Company Common Stock
fisv,"Fiserv, Inc. Common Stock"
fox,Fox Corporation Class B Common Stock
foxa,Fox Corporation Class A Common Stock
gild,"Gilead Sciences, Inc. Common Stock"
idxx,"IDEXX Laboratories, Inc. Common Stock"
ilmn,"Illumina, Inc. Common Stock"
incy,Incyte Corp. Common Stock
intc,Intel Corporation Common Stock
intu,Intuit Inc. Common Stock
isrg,"Intuitive Surgical, Inc. Common Stock"
jd,"JD.com, Inc. American Depositary Shares"
klac,KLA Corporation Common Stock
lrcx,Lam Research Corporation Common Stock
lbtya,Liberty Global plc Class A Ordinary Shares
lbtyk,Liberty Global plc Class C Ordinary Shares
lulu,lululemon athletica inc. Common Stock
mar,Marriott International Class A Common Stock
mxim,"Maxim Integrated Products, Inc. Common Stock"
meli,"MercadoLibre, Inc. Common Stock"
mchp,Microchip Technology Incorporated Common Stock
mu,"Micron Technology, Inc. Common Stock"
msft,Microsoft Corporation Common Stock
mrna,"Moderna, Inc. Common Stock"
mdlz,"Mondelez International, Inc. Class A Common Stock"
mnst,Monster Beverage Corporation
ntes,"NetEase, Inc. American Depositary Shares"
nflx,"Netflix, Inc. Common Stock"
nvda,NVIDIA Corporation Common Stock
nxpi,NXP Semiconductors N.V. Common Stock
orly,"O'Reilly Automotive, Inc. Common Stock"
pcar,PACCAR Inc. Common Stock
payx,"Paychex, Inc. Common Stock"
pypl,"PayPal Holdings, Inc. Common Stock"
pep,"PepsiCo, Inc. Common Stock"
pdd,Pinduoduo Inc. American Depositary Shares
qcom,QUALCOMM Incorporated Common Stock
regn,"Regeneron Pharmaceuticals, Inc. Common Stock"
rost,"Ross Stores, Inc. Common Stock"
sgen,"Seattle Genetics, Inc. Common Stock"
siri,Sirius XM Holdings Inc. Common Stock
swks,"Skyworks Solutions, Inc. Common Stock"
splk,Splunk Inc. Common Stock
sbux,Starbucks Corporation Common Stock
snps,"Synopsys, Inc. Common Stock"
tmus,"T-Mobile US, Inc. Common Stock"
ttwo,"Take-Two Interactive Software, Inc. Common Stock"
tsla,"Tesla, Inc. Common Stock"
txn,Texas Instruments Incorporated Common Stock
khc,The Kraft Heinz Company Common Stock
tcom,Trip.com Group Limited American Depositary Shares
ulta,"Ulta Beauty, Inc. Common Stock"
vrsn,"VeriSign, Inc. Common Stock"
vrsk,"Verisk Analytics, Inc. Common Stock"
vrtx,Vertex Pharmaceuticals Incorporated Common Stock
wba,"Walgreens Boots Alliance, Inc. Common Stock"
wdc,Western Digital Corporation Common Stock
wday,"Workday, Inc. Class A Common Stock"
xel,Xcel Energy Inc. Common Stock
xlnx,"Xilinx, Inc. Common Stock"
zm,"Zoom Video Communications, Inc. Class A Common Stock"